Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Revenue;Total Claims & Losses;Operating Income (Loss);Pretax Income (Loss);Income Tax (Expense) Benefit, Net;Income (Loss) from Affiliates, Net of Taxes;Income (Loss) from Continuing Operations;Net Extraordinary Gains (Losses);Net Income;Net Income (Common)
AGO;601095;USD;2022;FY;2022-12-31;2023-03-01;2025-02-28;62900000;63900000;824000000;-16000000;383000000;148000000;-11000000;;137000000;;124000000;124000000
AGO;601095;USD;2023;FY;2023-12-31;2024-02-28;2026-02-27;58400000;59600000;924000000;-162000000;294000000;668000000;93000000;;761000000;;739000000;739000000
AGO;601095;USD;2024;FY;2024-12-31;2025-02-28;2026-02-27;53300000;54300000;840000000;26000000;505000000;488000000;-96000000;;392000000;;376000000;376000000
AHL;700634;USD;2021;FY;2021-12-31;2022-05-16;2024-04-01;60395839;60395839;2628900000;-1693300000;92700000;35100000;-5300000;;29800000;;29800000;29800000
AHL;700634;USD;2022;FY;2022-12-31;2023-04-20;2025-03-19;60395839;60395839;2890000000;-1680000000;263900000;-27000000;78100000;;51100000;;51100000;51100000
AHL;700634;USD;2023;FY;2023-12-31;2024-04-01;2026-03-30;60395839;60395839;2929900000;-1553000000;493100000;402600000;132100000;;534700000;;534700000;99800000
AHL;700634;USD;2024;FY;2024-12-31;2025-03-19;2026-03-30;60395839;60395839;3320500000;-1717800000;649400000;464100000;22000000;;486100000;;486100000;109800000
AIG;251769;USD;2023;FY;2023-12-31;2024-02-14;2026-02-12;719506291;725233068;28211000000;-15393000000;3648000000;2867000000;-126000000;;2741000000;1137000000;3643000000;3614000000
AIG;251769;USD;2024;FY;2024-12-31;2025-02-13;2026-02-12;651448307;657283160;27326000000;-14567000000;3805000000;3870000000;-1170000000;;2700000000;-3626000000;-1404000000;-1426000000
AIZ;66661;USD;2020;FY;2020-12-31;2021-02-19;2023-02-17;60114670;63179938;9597600000;-2275200000;682600000;578100000;-58700000;;519400000;-77700000;440800000;422100000
